,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
g__Desulfovibrio;,0.15264709630002668,0.8787475233456382,0.8901098901098901,0.9488999064595882,1.0
g__Dialister;,0.6148236597933444,0.5389933899869958,0.5804195804195804,0.8846570096570098,1.0
g__Dielma;,-0.3124117148095219,0.7548776974717589,0.7292707292707292,0.9128810583356037,1.0
g__Dorea;,-0.1883063752199305,0.850724503691608,0.8541458541458542,0.9343680842318445,1.0
g__Eggerthella;,0.4639684937127063,0.6429029432136217,0.6413586413586414,0.9030934222571853,1.0
g__Eisenbergiella;,0.3265406121450184,0.7441727800645477,0.7552447552447552,0.9149641898886611,1.0
g__Enorma;,-1.417054966774067,0.15718429544112317,0.12287712287712288,0.6843573093573093,1.0
g__Enterobacter;,-0.7670835354820638,0.443448931568467,0.4435564435564436,0.8407198182982936,1.0
g__Enterococcus;,0.30622138244294445,0.7595829368005057,0.7292707292707292,0.9128810583356037,1.0
g__Enterorhabdus;,-1.21758474653125,0.2240434027378981,0.2047952047952048,0.7434547434547434,1.0
g__Enteroscipio;,-0.6612463878402307,0.5088051946677701,0.43756243756243757,0.8407198182982936,1.0
g__Epulopiscium;,0.8418744990243325,0.4003218592926353,0.4225774225774226,0.8407198182982936,1.0
g__Erysipelatoclostridiaceae;,1.1058886459244688,0.2693873604003115,0.3076923076923077,0.8222829801777171,1.0
g__Erysipelatoclostridium;,0.3452005310146242,0.7301108600838299,0.6933066933066933,0.9128810583356037,1.0
g__Erysipelotrichaceae_UCG-003;,-1.312227195128092,0.19013707737163454,0.1918081918081918,0.7434547434547434,1.0
g__Escherichia-Shigella;,-0.5614687822559867,0.5747678095923621,0.5804195804195804,0.8846570096570098,1.0
g__Faecalibacterium;,1.0000063425963372,0.31786465690712945,0.34165834165834164,0.8405214417484356,1.0
g__Faecalitalea;,-0.6444214162201426,0.5196426454394056,0.5504495504495505,0.879093129093129,1.0
g__Family_XIII_AD3011_group;,2.55469687873071,0.010968332707780384,0.00999000999000999,0.2503746253746254,0.98
g__Family_XIII_UCG-001;,-0.7758173104325443,0.43827941172177187,0.46153846153846156,0.8407198182982936,1.0
g__Flavonifractor;,-1.4564062523816925,0.14600339706210252,0.12887112887112886,0.6890309690309689,1.0
g__Fournierella;,-0.8960875973030047,0.3707027282175184,0.38961038961038963,0.8407198182982936,1.0
g__Frisingicoccus;,0.4796970241031133,0.6316844911117077,0.6613386613386614,0.9074802748272136,1.0
g__Fusicatenibacter;,1.3601329684671484,0.1744939147529046,0.1838161838161838,0.7434547434547434,1.0
g__GCA-900066575;,1.2332411464748563,0.21815333188899547,0.2057942057942058,0.7434547434547434,1.0
g__Gastranaerophilales;,0.45248264330438054,0.6511474105980157,0.6623376623376623,0.9074802748272136,1.0
g__Gordonibacter;,0.5737524660758319,0.5664325218956179,0.5934065934065934,0.8912211384121496,1.0
g__Granulicatella;,0.2340485766487381,0.8150576322353232,0.7882117882117882,0.9280748576936261,1.0
g__Haemophilus;,1.6429924025780303,0.10110875909088061,0.0969030969030969,0.6071584665334665,1.0
g__Holdemanella;,-1.3477365705666846,0.17844621219897067,0.1928071928071928,0.7434547434547434,1.0
g__Holdemania;,-0.6479884090399086,0.517335100111951,0.4965034965034965,0.8732364127100969,1.0
